fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
0,paired_reference,paired_consistency,701,75,1.6107692917188008,256,1.0735059976577759,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_reference_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,701,75,2.4415216644605002,256,1.0380969047546387,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_acquisition_dep20_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,702,75,1.6098938484986622,256,1.0695178508758545,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_reference_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,702,75,2.440136949221293,256,1.0318466424942017,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_acquisition_dep20_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,703,75,1.6081945300102234,256,1.070628046989441,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_reference_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,703,75,2.43803075949351,256,1.0341427326202393,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_acquisition_dep20_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,704,75,1.6103493968645732,256,1.0701227188110352,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,704,75,2.440663993358612,256,1.0335605144500732,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,705,75,1.6090231041113536,256,1.0699412822723389,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,705,75,2.43776402870814,256,1.0394995212554932,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_0\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,701,75,1.6098592976729076,256,1.0733295679092407,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,701,75,2.4402265747388205,256,1.0421346426010132,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_701,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,702,75,1.6115992963314056,256,1.073562741279602,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,702,75,2.4416905641555786,256,1.0424308776855469,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_702,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,703,75,1.6082684795061748,256,1.0786125659942627,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,703,75,2.4354058702786765,256,1.0438783168792725,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_703,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,704,75,1.6094520787398021,256,1.0750516653060913,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,704,75,2.438449223836263,256,1.0436514616012573,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_704,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,705,75,1.6065612733364105,256,1.0779223442077637,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_reference_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,705,75,2.4390564958254495,256,1.045015811920166,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\phikon\fold_1\runs\paired_acquisition_dep20_seed_705,768,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
