fold,variant,method,seed,epochs,final_training_loss,projected_feature_dim,projected_feature_variance_mean,run_dir,input_dim,biological_dim,acquisition_dim,hidden_dim,temperature,reconstruction_weight,variance_weight,covariance_weight,scanner_adversary_weight,scanner_acquisition_weight,scanner_dependence_weight,cross_covariance_weight,gradient_reversal_strength,n_fit_slides,n_test_slides
0,paired_reference,paired_consistency,701,75,1.8325738310813904,256,1.0624122619628906,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_reference_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,701,75,2.635741670926412,256,1.0351951122283936,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_acquisition_dep20_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,702,75,1.8293395439783733,256,1.0662732124328613,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_reference_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,702,75,2.6318708260854087,256,1.0410999059677124,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_acquisition_dep20_seed_702,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,703,75,1.8298646807670593,256,1.0633916854858398,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_reference_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,703,75,2.632994453112284,256,1.0396298170089722,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_acquisition_dep20_seed_703,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,704,75,1.830211450656255,256,1.0624794960021973,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_reference_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,704,75,2.6347333987553916,256,1.0417835712432861,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_acquisition_dep20_seed_704,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
0,paired_reference,paired_consistency,705,75,1.8330922822157543,256,1.0622889995574951,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_reference_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
0,paired_acquisition_dep20,paired_acquisition,705,75,2.634518881638845,256,1.0364460945129395,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_0\runs\paired_acquisition_dep20_seed_705,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
1,paired_reference,paired_consistency,701,75,1.8255066871643066,256,1.0741138458251953,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_reference_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.0,0.0,0.0,0.0,0.0,38,10
1,paired_acquisition_dep20,paired_acquisition,701,75,2.626609762509664,256,1.0432326793670654,C:\Users\matth\computational-pathology-research\results\scorpion\paired_acquisition_crossbackbone_transfer\resnet50\fold_1\runs\paired_acquisition_dep20_seed_701,2048,256,64,512,0.1,1.0,1.0,0.01,0.5,0.5,20.0,0.05,1.0,38,10
