fold,seed,acquisition_scanner_probe,acquisition_tissue_retrieval,acquisition_effective_rank,cross_covariance_rms
0,701,0.944,0.0795,9.179629961430011,0.09289084374904633
0,702,0.952,0.07800000000000001,9.084859613004069,0.09185966104269028
0,703,0.95,0.08,9.02121907435852,0.09333063662052155
0,704,0.944,0.06250000000000001,8.436032309720883,0.09178715199232101
0,705,0.9559999999999998,0.07350000000000001,9.368022844834655,0.09124311804771423
1,701,0.97,0.07250000000000001,9.029815718586724,0.0846262276172638
1,702,0.9620000000000001,0.1,9.40555155636741,0.08515115082263947
1,703,0.968,0.0945,9.351157171259421,0.08825105428695679
1,704,0.966,0.08149999999999999,8.686199785121246,0.08388654887676239
1,705,0.968,0.0905,9.791871014817996,0.08751700818538666
2,701,0.984,0.06,7.797334825254292,0.08790832757949829
2,702,0.9879999999999999,0.0855,8.224469846289033,0.08856480568647385
2,703,0.982,0.083,8.21407206732959,0.08942849934101105
2,704,0.9880000000000001,0.06849999999999999,7.439509677301212,0.0875210165977478
2,705,0.982,0.084,8.299064103134949,0.08957289904356003
3,701,0.9866666666666667,0.07833333333333332,8.693695719850584,0.08725522458553314
3,702,0.9844444444444445,0.0661111111111111,8.408255731619631,0.08512326329946518
3,703,0.9800000000000001,0.06166666666666667,8.44032150592128,0.08187364041805267
3,704,0.9822222222222223,0.06166666666666667,8.06574610522757,0.08201117068529129
3,705,0.9800000000000001,0.052222222222222225,8.388080774672526,0.08228881657123566
4,701,0.9711111111111113,0.06499999999999999,8.501240202427958,0.09568141400814056
4,702,0.9711111111111113,0.06444444444444444,8.324627993950946,0.09384182840585709
4,703,0.968888888888889,0.07666666666666666,8.266279465343649,0.09547543525695801
4,704,0.9755555555555556,0.05611111111111111,7.690689583626815,0.09107811748981476
4,705,0.9733333333333334,0.07222222222222222,8.952451747260362,0.09350462257862091
