fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_slides
0,paired_reference,701,0.7847053468227386,0.7422640323638916,0.9984999999999999,0.995,0.9259999999999999,55.507948251039195,1.0,10
0,paired_reference,702,0.7818642377853393,0.741822361946106,0.999,0.995,0.9380000000000001,56.55687952788465,1.0,10
0,paired_reference,703,0.7831510484218598,0.745009183883667,0.999,0.995,0.9280000000000002,56.43780463033263,1.0,10
0,paired_reference,704,0.780425202846527,0.7376314401626587,0.9995,0.995,0.9400000000000001,57.239464261008884,1.0,10
0,paired_reference,705,0.7778791785240173,0.7404352426528931,0.9995,0.995,0.938,57.36400516410341,1.0,10
1,paired_reference,701,0.7816535472869873,0.7402768135070801,0.999,0.995,0.95,58.00740743904476,1.0,10
1,paired_reference,702,0.7823585867881775,0.7388651967048645,0.9984999999999999,0.995,0.9600000000000002,58.33001569540494,1.0,10
1,paired_reference,703,0.7833703875541687,0.7386626601219177,0.9995,0.995,0.952,57.169280110708385,1.0,10
1,paired_reference,704,0.776779854297638,0.7333335280418396,0.9994999999999999,0.995,0.93,58.854454315281835,1.0,10
1,paired_reference,705,0.7857336163520813,0.7467041611671448,0.9995,0.995,0.944,57.16671768705211,1.0,10
2,paired_reference,701,0.7692653119564057,0.7434903979301453,1.0,1.0,0.9780000000000001,57.99604025706403,1.0,10
2,paired_reference,702,0.76798175573349,0.7386636137962341,1.0,1.0,0.9560000000000001,58.7754230994525,1.0,10
2,paired_reference,703,0.7706836283206939,0.7431161999702454,1.0,1.0,0.968,57.40253152690187,1.0,10
2,paired_reference,704,0.7674158990383149,0.7385732531547546,0.9995,0.995,0.96,57.633079444065984,1.0,10
2,paired_reference,705,0.7636294782161712,0.734397292137146,0.9995,0.995,0.9579999999999999,57.96272595522957,1.0,10
3,paired_reference,701,0.7708453476428986,0.7341824173927307,0.9988888888888889,0.9888888888888889,0.9555555555555555,51.52367429520051,1.0,9
3,paired_reference,702,0.7693057358264923,0.7390909194946289,0.9994444444444444,0.9944444444444445,0.9666666666666668,50.949223799229635,1.0,9
