fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
1,paired_reference,701,slide_1,0.8293720233440399,0.7716120958328248,1.0,1.0,0.76
1,paired_reference,702,slide_1,0.8200370365381241,0.7773513734340668,1.0,1.0,0.82
1,paired_reference,703,slide_1,0.8239981573820114,0.7621043622493744,1.0,1.0,0.82
1,paired_reference,704,slide_1,0.8244926619529724,0.7723566949367523,1.0,1.0,0.8
1,paired_reference,705,slide_1,0.8348604118824006,0.7881107926368713,1.0,1.0,0.76
2,paired_reference,701,slide_10,0.7443876481056213,0.7150158166885376,1.0,1.0,1.0
2,paired_reference,702,slide_10,0.7588762956857681,0.7311328232288361,1.0,1.0,1.0
2,paired_reference,703,slide_10,0.7568561524152756,0.7260209441184997,1.0,1.0,1.0
2,paired_reference,704,slide_10,0.7680125027894974,0.7244110107421875,0.995,0.95,1.0
2,paired_reference,705,slide_10,0.7388719952106476,0.7062574803829194,1.0,1.0,1.0
0,paired_reference,701,slide_11,0.8034160447120666,0.7751526176929474,1.0,1.0,1.0
0,paired_reference,702,slide_11,0.8057504963874816,0.7756384432315826,1.0,1.0,1.0
0,paired_reference,703,slide_11,0.8010815727710724,0.7774969160556793,1.0,1.0,1.0
0,paired_reference,704,slide_11,0.788431226015091,0.7627076208591461,1.0,1.0,0.94
0,paired_reference,705,slide_11,0.8041291928291321,0.7828248858451843,1.0,1.0,0.94
1,paired_reference,701,slide_12,0.7791504573822021,0.7491711556911469,1.0,1.0,0.94
1,paired_reference,702,slide_12,0.7687006133794785,0.7301346600055695,1.0,1.0,0.94
1,paired_reference,703,slide_12,0.7592384195327759,0.7212374031543731,1.0,1.0,0.96
1,paired_reference,704,slide_12,0.7740805178880692,0.7450929164886475,1.0,1.0,0.9
1,paired_reference,705,slide_12,0.7800430673360824,0.7480923533439636,1.0,1.0,0.98
3,paired_reference,701,slide_13,0.7719315034151077,0.7303914785385132,1.0,1.0,0.98
3,paired_reference,702,slide_13,0.7730983108282089,0.7434183716773987,1.0,1.0,0.96
3,paired_reference,703,slide_13,0.7821654736995697,0.7411039650440217,1.0,1.0,0.92
3,paired_reference,704,slide_13,0.7870334172248841,0.7536422073841095,1.0,1.0,0.96
3,paired_reference,705,slide_13,0.7939222812652588,0.7552476644515991,1.0,1.0,0.94
0,paired_reference,701,slide_14,0.786730386018753,0.7391285836696625,1.0,1.0,0.98
0,paired_reference,702,slide_14,0.7827230632305145,0.7387380242347718,0.995,0.95,1.0
0,paired_reference,703,slide_14,0.7953700011968613,0.7524757266044617,1.0,1.0,0.92
0,paired_reference,704,slide_14,0.7739079892635345,0.7227243959903717,1.0,1.0,0.96
0,paired_reference,705,slide_14,0.7811408585309982,0.7268292427062988,1.0,1.0,1.0
1,paired_reference,701,slide_15,0.7685156506299973,0.6938645124435425,1.0,1.0,1.0
1,paired_reference,702,slide_15,0.7984443175792694,0.7494962751865387,1.0,1.0,0.98
1,paired_reference,703,slide_15,0.77193583548069,0.69517702460289,1.0,1.0,0.98
1,paired_reference,704,slide_15,0.7705828225612641,0.6988237559795379,1.0,1.0,0.98
1,paired_reference,705,slide_15,0.7848740231990814,0.706214189529419,1.0,1.0,0.98
2,paired_reference,701,slide_16,0.7881037622690201,0.7487565696239471,1.0,1.0,0.98
2,paired_reference,702,slide_16,0.8059092718362808,0.7656947076320648,1.0,1.0,0.96
2,paired_reference,703,slide_16,0.7988333809375763,0.76592618227005,1.0,1.0,1.0
2,paired_reference,704,slide_16,0.7902523696422576,0.7522668778896332,1.0,1.0,0.96
2,paired_reference,705,slide_16,0.8099212270975112,0.7793123662471771,1.0,1.0,0.96
0,paired_reference,701,slide_17,0.7304878455400466,0.699081826210022,0.995,0.95,0.92
0,paired_reference,702,slide_17,0.7258581566810608,0.6722650825977325,0.995,0.95,0.94
0,paired_reference,703,slide_17,0.7276653158664703,0.6894297957420349,1.0,1.0,0.96
0,paired_reference,704,slide_17,0.7208242803812027,0.6826439321041107,1.0,1.0,0.96
0,paired_reference,705,slide_17,0.721789573431015,0.6849345624446869,1.0,1.0,0.94
1,paired_reference,701,slide_18,0.7913426208496094,0.7648423492908478,1.0,1.0,0.92
1,paired_reference,702,slide_18,0.7885666954517364,0.7546932697296143,0.995,0.95,0.92
1,paired_reference,703,slide_18,0.7921649312973023,0.7426043033599854,0.995,0.95,0.92
1,paired_reference,704,slide_18,0.7909759283065796,0.7577933371067047,1.0,1.0,0.82
1,paired_reference,705,slide_18,0.7890814983844757,0.7652814745903015,1.0,1.0,0.8
4,paired_reference,701,slide_19,0.7283278679847718,0.6712756991386414,1.0,1.0,0.98
4,paired_reference,702,slide_19,0.7188357454538346,0.6511610805988312,1.0,1.0,1.0
4,paired_reference,703,slide_19,0.7226776701211929,0.6645334601402283,1.0,1.0,0.98
4,paired_reference,704,slide_19,0.7196037691831588,0.659293407201767,1.0,1.0,0.98
4,paired_reference,705,slide_19,0.7382966646552086,0.6755103558301926,1.0,1.0,0.96
4,paired_reference,701,slide_2,0.7484683781862259,0.7177523136138916,1.0,1.0,0.96
4,paired_reference,702,slide_2,0.7533173686265946,0.7184713423252106,1.0,1.0,0.98
4,paired_reference,703,slide_2,0.7484122860431671,0.7172738552093506,1.0,1.0,1.0
4,paired_reference,704,slide_2,0.7397133880853652,0.7031442046165466,1.0,1.0,0.96
4,paired_reference,705,slide_2,0.7484474670886994,0.7100541591644287,1.0,1.0,0.98
0,paired_reference,701,slide_20,0.7908129954338073,0.7562049746513366,1.0,1.0,0.98
0,paired_reference,702,slide_20,0.7948771774768829,0.7641324400901794,1.0,1.0,1.0
0,paired_reference,703,slide_20,0.7785933715105057,0.7465402007102966,1.0,1.0,0.96
0,paired_reference,704,slide_20,0.7875838959217072,0.7529696583747864,1.0,1.0,0.96
0,paired_reference,705,slide_20,0.7789708518981934,0.7399870932102204,1.0,1.0,1.0
1,paired_reference,701,slide_21,0.7661232483386994,0.7410798609256745,0.995,0.95,1.0
1,paired_reference,702,slide_21,0.7690047496557235,0.7404760181903839,0.99,0.95,1.0
1,paired_reference,703,slide_21,0.7792860072851181,0.7552284300327301,1.0,1.0,1.0
1,paired_reference,704,slide_21,0.7556860041618347,0.7183536291122437,1.0,1.0,0.96
1,paired_reference,705,slide_21,0.7732565879821778,0.7460010647773743,0.995,0.95,0.98
2,paired_reference,701,slide_22,0.7630599290132523,0.7328662097454071,1.0,1.0,0.92
2,paired_reference,702,slide_22,0.7385762310028077,0.6914682507514953,1.0,1.0,0.94
2,paired_reference,703,slide_22,0.7513190615177154,0.7046481013298035,1.0,1.0,0.94
2,paired_reference,704,slide_22,0.7517899239063263,0.7104433596134185,1.0,1.0,0.92
2,paired_reference,705,slide_22,0.7457036238908767,0.695236086845398,1.0,1.0,0.92
2,paired_reference,701,slide_23,0.7129027479887009,0.6590262889862061,1.0,1.0,1.0
2,paired_reference,702,slide_23,0.7149917566776276,0.6656972229480743,1.0,1.0,1.0
2,paired_reference,703,slide_23,0.7189148187637329,0.6772226452827453,1.0,1.0,1.0
2,paired_reference,704,slide_23,0.7182323986291885,0.685397344827652,1.0,1.0,1.0
2,paired_reference,705,slide_23,0.7206155449151993,0.6768581628799438,1.0,1.0,1.0
1,paired_reference,701,slide_24,0.7771178114414216,0.6995000839233398,1.0,1.0,0.98
1,paired_reference,702,slide_24,0.7794397103786469,0.6896663784980774,1.0,1.0,0.98
1,paired_reference,703,slide_24,0.7916914236545562,0.7111490428447723,1.0,1.0,0.94
1,paired_reference,704,slide_24,0.7744511157274246,0.7056013166904449,1.0,1.0,0.94
1,paired_reference,705,slide_24,0.784005401134491,0.7106319069862366,1.0,1.0,0.98
3,paired_reference,701,slide_25,0.7780269545316696,0.7068942308425903,1.0,1.0,0.94
3,paired_reference,702,slide_25,0.7640097171068192,0.7048253953456879,1.0,1.0,0.98
3,paired_reference,703,slide_25,0.7547654235363006,0.6604707837104797,0.995,0.95,0.98
3,paired_reference,704,slide_25,0.7584888434410095,0.6591741144657135,1.0,1.0,1.0
3,paired_reference,705,slide_25,0.7900926166772843,0.7316564917564392,1.0,1.0,1.0
0,paired_reference,701,slide_26,0.7979825270175934,0.7407631695270538,0.995,0.95,0.74
0,paired_reference,702,slide_26,0.7855613255500793,0.7188193440437317,1.0,1.0,0.72
0,paired_reference,703,slide_26,0.7969129145145416,0.7339155554771424,1.0,1.0,0.62
0,paired_reference,704,slide_26,0.7958459174633026,0.7407111763954163,1.0,1.0,0.8
0,paired_reference,705,slide_26,0.7896772533655166,0.7266793668270111,0.995,0.95,0.68
2,paired_reference,701,slide_27,0.7887644702196122,0.742038905620575,1.0,1.0,1.0
2,paired_reference,702,slide_27,0.7875334334373474,0.7383501708507538,1.0,1.0,0.98
2,paired_reference,703,slide_27,0.7923764503002166,0.7372509121894837,1.0,1.0,1.0
2,paired_reference,704,slide_27,0.7833702111244202,0.7448324859142303,1.0,1.0,0.98
2,paired_reference,705,slide_27,0.7762864351272583,0.7216475069522857,1.0,1.0,0.96
2,paired_reference,701,slide_28,0.7497004890441894,0.7104009211063385,1.0,1.0,1.0
2,paired_reference,702,slide_28,0.7582850158214569,0.7268964529037476,1.0,1.0,1.0
2,paired_reference,703,slide_28,0.7499844765663147,0.7148873925209045,1.0,1.0,1.0
2,paired_reference,704,slide_28,0.7528673273324966,0.7167862892150879,1.0,1.0,1.0
2,paired_reference,705,slide_28,0.7469623082876206,0.7081349909305572,1.0,1.0,1.0
3,paired_reference,701,slide_29,0.7559282898902893,0.7290336966514588,1.0,1.0,1.0
3,paired_reference,702,slide_29,0.7478487837314606,0.720279997587204,1.0,1.0,0.98
3,paired_reference,703,slide_29,0.7411999303102493,0.717935448884964,1.0,1.0,1.0
3,paired_reference,704,slide_29,0.7467390149831772,0.7174455285072326,1.0,1.0,1.0
3,paired_reference,705,slide_29,0.7476262503862381,0.7250350952148438,1.0,1.0,1.0
4,paired_reference,701,slide_3,0.8120444983243942,0.7799805760383606,1.0,1.0,0.94
4,paired_reference,702,slide_3,0.8076189988851548,0.7708367943763733,1.0,1.0,0.96
4,paired_reference,703,slide_3,0.8117128497362137,0.7832797408103943,1.0,1.0,0.9
4,paired_reference,704,slide_3,0.8128450405597687,0.7867013394832612,1.0,1.0,0.96
4,paired_reference,705,slide_3,0.8079910850524903,0.7695067942142486,1.0,1.0,0.92
4,paired_reference,701,slide_30,0.7409421920776367,0.6885178208351135,1.0,1.0,0.96
4,paired_reference,702,slide_30,0.7169386434555054,0.655733996629715,1.0,1.0,0.98
4,paired_reference,703,slide_30,0.7267924112081527,0.6664327502250671,1.0,1.0,0.96
4,paired_reference,704,slide_30,0.7169213706254959,0.6603342175483704,0.985,0.95,0.98
4,paired_reference,705,slide_30,0.7394733327627182,0.6876844823360443,1.0,1.0,1.0
3,paired_reference,701,slide_31,0.7774925470352173,0.7347359418869018,1.0,1.0,0.96
3,paired_reference,702,slide_31,0.7831167304515838,0.750202888250351,1.0,1.0,1.0
3,paired_reference,703,slide_31,0.7759067225456238,0.7471336960792542,1.0,1.0,1.0
3,paired_reference,704,slide_31,0.7523897939920425,0.7220860064029694,0.995,0.95,1.0
3,paired_reference,705,slide_31,0.7811712825298309,0.7583408892154694,1.0,1.0,0.98
4,paired_reference,701,slide_32,0.7638200372457504,0.7336052000522614,1.0,1.0,0.98
4,paired_reference,702,slide_32,0.7519814676046371,0.7130403935909271,1.0,1.0,0.96
4,paired_reference,703,slide_32,0.765038446187973,0.717914092540741,1.0,1.0,0.96
4,paired_reference,704,slide_32,0.7501237601041794,0.7005764901638031,1.0,1.0,0.98
4,paired_reference,705,slide_32,0.753969486951828,0.7054540812969208,1.0,1.0,0.98
0,paired_reference,701,slide_33,0.7776242667436599,0.7270113110542298,1.0,1.0,0.86
0,paired_reference,702,slide_33,0.7827708822488785,0.7423196136951447,1.0,1.0,0.88
0,paired_reference,703,slide_33,0.7775983238220214,0.7358389794826508,1.0,1.0,0.88
0,paired_reference,704,slide_33,0.7782852846384049,0.7315275251865387,1.0,1.0,0.9
0,paired_reference,705,slide_33,0.7605115556716919,0.7096212267875671,1.0,1.0,0.94
0,paired_reference,701,slide_34,0.8210182827711106,0.7554748058319092,0.995,0.95,0.94
0,paired_reference,702,slide_34,0.8204970794916153,0.7791200160980225,1.0,1.0,0.92
0,paired_reference,703,slide_34,0.8149293243885041,0.7720266699790954,0.995,0.95,1.0
0,paired_reference,704,slide_34,0.8231789726018905,0.7813004374504089,1.0,1.0,0.96
0,paired_reference,705,slide_34,0.8057441782951354,0.7652912259101867,1.0,1.0,1.0
3,paired_reference,701,slide_35,0.7786957585811615,0.7049516379833222,1.0,1.0,0.86
3,paired_reference,702,slide_35,0.7819747394323349,0.7253188192844391,1.0,1.0,0.88
3,paired_reference,703,slide_35,0.7681481087207794,0.7032960832118988,1.0,1.0,0.9
3,paired_reference,704,slide_35,0.7749910098314285,0.7132212698459626,1.0,1.0,0.88
3,paired_reference,705,slide_35,0.7712811905145646,0.7091720700263977,1.0,1.0,0.88
3,paired_reference,701,slide_36,0.8116563618183136,0.7699455916881561,0.995,0.95,0.92
3,paired_reference,702,slide_36,0.8006621223688125,0.7645038843154908,1.0,1.0,0.96
3,paired_reference,703,slide_36,0.8213780200481415,0.7786414504051209,1.0,1.0,0.98
3,paired_reference,704,slide_36,0.7871732169389725,0.7334727346897125,0.995,0.95,1.0
3,paired_reference,705,slide_36,0.7956855809688568,0.7433793902397156,0.995,0.95,0.94
1,paired_reference,701,slide_37,0.8073467940092087,0.754246062040329,1.0,1.0,1.0
1,paired_reference,702,slide_37,0.8051554876565933,0.7496361911296845,1.0,1.0,1.0
1,paired_reference,703,slide_37,0.8149968445301056,0.7743891179561615,1.0,1.0,0.98
1,paired_reference,704,slide_37,0.7990745389461518,0.754536646604538,1.0,1.0,1.0
1,paired_reference,705,slide_37,0.8039901131391525,0.7494375228881835,1.0,1.0,1.0
1,paired_reference,701,slide_38,0.7544211483001709,0.7248959898948669,1.0,1.0,1.0
1,paired_reference,702,slide_38,0.7692832839488983,0.7375564873218536,1.0,1.0,1.0
1,paired_reference,703,slide_38,0.75475745677948,0.7199580252170563,1.0,1.0,1.0
1,paired_reference,704,slide_38,0.7578133952617645,0.7141241490840912,1.0,1.0,1.0
1,paired_reference,705,slide_38,0.7631619191169738,0.7378557801246644,1.0,1.0,1.0
0,paired_reference,701,slide_39,0.7637197899818421,0.7138264000415802,1.0,1.0,0.9
0,paired_reference,702,slide_39,0.7546045243740082,0.6924339830875397,1.0,1.0,0.94
