variant,slide_id,scanner_probe_accuracy,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst
paired_reference,slide_1,0.792,0.8265520582199096,0.7743070638179779,1.0,1.0
paired_reference,slide_10,1.0,0.753400918841362,0.720567615032196,0.999,0.99
paired_reference,slide_11,0.976,0.8005617065429688,0.7747640967369079,1.0,1.0
paired_reference,slide_12,0.944,0.7722426151037216,0.7387456977367401,1.0,1.0
paired_reference,slide_13,0.952,0.7816301972866058,0.7447607374191284,1.0,1.0
paired_reference,slide_14,0.9719999999999999,0.7839744596481324,0.7359791946411133,0.999,0.99
paired_reference,slide_15,0.984,0.7788705298900604,0.7087151515483856,1.0,1.0
paired_reference,slide_16,0.9719999999999999,0.7986040023565292,0.7623913407325744,1.0,1.0
paired_reference,slide_17,0.944,0.7253250343799591,0.6856710398197174,0.998,0.9800000000000001
paired_reference,slide_18,0.876,0.7904263348579407,0.7570429468154908,0.998,0.9800000000000001
paired_reference,slide_19,0.9800000000000001,0.7255483434796333,0.6643548005819321,1.0,1.0
paired_reference,slide_2,0.976,0.7476717776060104,0.7133391749858856,1.0,1.0
paired_reference,slide_20,0.9800000000000001,0.7861676584482193,0.7519668734073639,1.0,1.0
paired_reference,slide_21,0.9879999999999999,0.7686713194847107,0.7402278006076812,0.9959999999999999,0.97
paired_reference,slide_22,0.9279999999999999,0.7500897538661957,0.7069324016571045,1.0,1.0
paired_reference,slide_23,1.0,0.7171314533948898,0.6728403329849243,1.0,1.0
paired_reference,slide_24,0.9640000000000001,0.7813410924673081,0.7033097457885742,1.0,1.0
paired_reference,slide_25,0.9800000000000001,0.7690767110586166,0.6926042032241821,0.999,0.99
paired_reference,slide_26,0.712,0.7931959875822068,0.7321777224540711,0.998,0.9800000000000001
paired_reference,slide_27,0.984,0.7856662000417709,0.7368239963054657,1.0,1.0
paired_reference,slide_28,1.0,0.7515599234104157,0.7154212093353272,1.0,1.0
paired_reference,slide_29,0.9960000000000001,0.7478684538602829,0.7219459533691406,1.0,1.0
paired_reference,slide_3,0.9359999999999999,0.8104424945116044,0.7780610489845275,1.0,1.0
paired_reference,slide_30,0.976,0.7282135900259018,0.6717406535148621,0.9969999999999999,0.99
paired_reference,slide_31,0.9879999999999999,0.7740154153108596,0.7424998843669892,0.999,0.99
paired_reference,slide_32,0.9719999999999999,0.7569866396188736,0.7141180515289307,1.0,1.0
paired_reference,slide_33,0.892,0.7753580626249313,0.7292637312412262,1.0,1.0
paired_reference,slide_34,0.9640000000000001,0.8170735675096512,0.7706426310539245,0.998,0.9800000000000001
paired_reference,slide_35,0.8800000000000001,0.7750181614160538,0.7111919760704041,1.0,1.0
paired_reference,slide_36,0.96,0.8033110604286193,0.7579886102676392,0.9970000000000001,0.97
paired_reference,slide_37,0.9960000000000001,0.8061127556562424,0.7564491081237793,1.0,1.0
paired_reference,slide_38,1.0,0.7598874406814575,0.7268780863285065,1.0,1.0
paired_reference,slide_39,0.932,0.7626855375766753,0.7060885810852051,0.998,0.9800000000000001
paired_reference,slide_4,0.9359999999999999,0.7900978300571442,0.7464230310916901,0.999,0.99
paired_reference,slide_40,0.86,0.8694263334274291,0.8115367066860198,0.9869999999999999,0.9199999999999999
paired_reference,slide_41,0.9800000000000001,0.7721498905420303,0.7296505069732666,1.0,1.0
paired_reference,slide_42,0.992,0.7618374419212341,0.7352174401283265,1.0,1.0
paired_reference,slide_43,0.968,0.7383637171983719,0.6621845817565918,1.0,1.0
paired_reference,slide_44,0.9960000000000001,0.7579764388799667,0.7022488605976105,1.0,1.0
paired_reference,slide_45,0.992,0.7848222618103027,0.7383452153205872,1.0,1.0
paired_reference,slide_46,0.9879999999999999,0.7832873879671096,0.7412286412715912,1.0,1.0
paired_reference,slide_47,0.9879999999999999,0.799558159828186,0.7587386083602905,1.0,1.0
paired_reference,slide_48,0.9960000000000001,0.7864498767852783,0.7576285839080811,1.0,1.0
paired_reference,slide_5,0.9359999999999999,0.7508654466867447,0.6964418935775757,0.998,0.9800000000000001
paired_reference,slide_6,1.0,0.7264386361241341,0.6648252075910568,0.9969999999999999,0.97
paired_reference,slide_7,0.96,0.7463382687568665,0.696372230052948,1.0,1.0
paired_reference,slide_8,0.8240000000000001,0.7789254232645034,0.7260707902908325,0.999,0.99
paired_reference,slide_9,0.976,0.8097864309549332,0.7800334310531616,1.0,1.0
paired_acquisition_dep20,slide_1,0.368,0.8629944550991059,0.8166829752922059,1.0,1.0
paired_acquisition_dep20,slide_10,0.616,0.8604676152467727,0.827435873746872,1.0,1.0
paired_acquisition_dep20,slide_11,0.532,0.8853199148178101,0.8654810738563536,1.0,1.0
paired_acquisition_dep20,slide_12,0.472,0.8462492382526398,0.8116474366188049,1.0,1.0
paired_acquisition_dep20,slide_13,0.608,0.8713783956766129,0.8432678472995757,1.0,1.0
paired_acquisition_dep20,slide_14,0.44400000000000006,0.8681479922533036,0.8280595445632934,1.0,1.0
paired_acquisition_dep20,slide_15,0.516,0.8630892950296403,0.8110638213157653,1.0,1.0
paired_acquisition_dep20,slide_16,0.568,0.8836578063964844,0.8584989869594575,1.0,1.0
paired_acquisition_dep20,slide_17,0.5,0.8171286364793777,0.7743776774406432,1.0,1.0
paired_acquisition_dep20,slide_18,0.45999999999999996,0.8683303236961365,0.8365983545780182,1.0,1.0
paired_acquisition_dep20,slide_19,0.6599999999999999,0.8522795605659486,0.7999856817722321,1.0,1.0
paired_acquisition_dep20,slide_2,0.5640000000000001,0.8546484690904617,0.8264525306224823,1.0,1.0
paired_acquisition_dep20,slide_20,0.46799999999999997,0.862522003531456,0.8316135489940644,1.0,1.0
paired_acquisition_dep20,slide_21,0.5359999999999999,0.8578509767055511,0.8309450900554657,0.999,0.99
paired_acquisition_dep20,slide_22,0.44400000000000006,0.8292029495239259,0.7925248622894288,1.0,1.0
paired_acquisition_dep20,slide_23,0.584,0.8263864506483077,0.784545476436615,1.0,1.0
paired_acquisition_dep20,slide_24,0.476,0.8657072613239288,0.8120887887477874,1.0,1.0
paired_acquisition_dep20,slide_25,0.584,0.8832948173284529,0.8272828805446626,1.0,1.0
paired_acquisition_dep20,slide_26,0.344,0.8400845247507096,0.7819185161590576,0.998,0.9800000000000001
paired_acquisition_dep20,slide_27,0.528,0.867629026055336,0.8243627047538757,1.0,1.0
paired_acquisition_dep20,slide_28,0.556,0.8520045809745789,0.8154335927963257,1.0,1.0
paired_acquisition_dep20,slide_29,0.572,0.8684918845891954,0.8434657502174379,1.0,1.0
paired_acquisition_dep20,slide_3,0.48,0.894434263586998,0.8727977740764619,1.0,1.0
paired_acquisition_dep20,slide_30,0.548,0.8372578434944152,0.7967095971107483,1.0,1.0
