fold,variant,seed,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy,effective_rank,feature_variance_nonzero_fraction,n_test_slides
0,paired_reference,701,0.6429758071899414,0.5924553275108337,0.9645000000000001,0.935,0.642,88.71291173764878,1.0,10
0,paired_reference,702,0.6442227602005005,0.598615288734436,0.968,0.94,0.69,87.60344134950527,1.0,10
0,paired_reference,703,0.6390363037586212,0.5903546810150146,0.9615,0.9199999999999999,0.61,88.8878319234136,1.0,10
0,paired_reference,704,0.6385377645492554,0.5891743302345276,0.9639999999999999,0.94,0.65,88.63029288199188,1.0,10
0,paired_reference,705,0.6380434393882751,0.5909757614135742,0.9594999999999999,0.9299999999999999,0.692,88.98910500220848,1.0,10
1,paired_reference,701,0.620064663887024,0.5502011775970459,0.962,0.93,0.704,94.92673222535612,1.0,10
1,paired_reference,702,0.6224975883960724,0.5522236824035645,0.969,0.94,0.6340000000000001,93.28224123711946,1.0,10
1,paired_reference,703,0.6238582491874695,0.5621194243431091,0.9640000000000001,0.915,0.6719999999999999,93.74871356753299,1.0,10
1,paired_reference,704,0.624875521659851,0.5682740211486816,0.969,0.935,0.696,93.81234733833945,1.0,10
1,paired_reference,705,0.6230847001075744,0.5579370260238647,0.9710000000000001,0.935,0.652,93.12686716503117,1.0,10
2,paired_reference,701,0.6236212491989136,0.5584750175476074,0.9685000000000002,0.95,0.632,92.27054427803911,1.0,10
2,paired_reference,702,0.6267606019973755,0.5668038129806519,0.9664999999999999,0.94,0.632,91.97149140124466,1.0,10
2,paired_reference,703,0.6285505056381225,0.5602981448173523,0.9630000000000001,0.925,0.654,91.8613487239481,1.0,10
2,paired_reference,704,0.6252808749675751,0.5522647500038147,0.9584999999999999,0.9299999999999999,0.612,91.17195034348941,1.0,10
2,paired_reference,705,0.6257403194904327,0.5606163144111633,0.961,0.935,0.6799999999999999,91.46622269602251,1.0,10
3,paired_reference,701,0.6175475418567657,0.5616323947906494,0.9622222222222222,0.9388888888888889,0.7911111111111111,80.71415505626433,1.0,9
3,paired_reference,702,0.6245477735996247,0.5672945380210876,0.9594444444444443,0.9444444444444444,0.7733333333333333,78.91937800392219,1.0,9
3,paired_reference,703,0.6188123285770416,0.5676742792129517,0.9616666666666666,0.9333333333333333,0.7111111111111111,80.96729866220437,1.0,9
3,paired_reference,704,0.6205322802066803,0.5659418106079102,0.9544444444444444,0.9166666666666667,0.7555555555555556,78.81930357551478,1.0,9
3,paired_reference,705,0.624148941040039,0.5738329291343689,0.9566666666666667,0.9333333333333333,0.7555555555555555,80.68421732827059,1.0,9
4,paired_reference,701,0.6314870893955231,0.5826196670532227,0.97,0.95,0.6888888888888889,85.03214858974404,1.0,9
4,paired_reference,702,0.6326472342014313,0.5736972093582153,0.9683333333333332,0.95,0.6866666666666668,82.9447121208783,1.0,9
4,paired_reference,703,0.634080845117569,0.5793717503547668,0.97,0.95,0.6688888888888889,83.42939789931644,1.0,9
4,paired_reference,704,0.6318100035190582,0.5824277997016907,0.971111111111111,0.9388888888888889,0.68,83.88347030392606,1.0,9
4,paired_reference,705,0.6319806635379791,0.5784254670143127,0.9677777777777777,0.9333333333333333,0.7066666666666667,84.26636967071387,1.0,9
0,paired_acquisition_dep20,701,0.6572719037532806,0.6060519814491272,0.9675,0.935,0.266,87.11764155576523,1.0,10
0,paired_acquisition_dep20,702,0.6619045555591583,0.6077998876571655,0.9720000000000001,0.935,0.252,85.68790871490893,1.0,10
0,paired_acquisition_dep20,703,0.6615810513496398,0.6108089685440063,0.974,0.95,0.294,85.60186165780088,1.0,10
0,paired_acquisition_dep20,704,0.6633013784885406,0.6080024838447571,0.9734999999999999,0.955,0.26399999999999996,85.53967739694583,1.0,10
0,paired_acquisition_dep20,705,0.6564507424831391,0.6065824031829834,0.966,0.915,0.2919999999999999,86.83491680663131,1.0,10
1,paired_acquisition_dep20,701,0.6405424833297729,0.5732773542404175,0.9724999999999999,0.95,0.294,93.00584974533699,1.0,10
1,paired_acquisition_dep20,702,0.6452538549900055,0.5701954364776611,0.974,0.94,0.27,90.10542531706044,1.0,10
1,paired_acquisition_dep20,703,0.6468158960342407,0.5852265357971191,0.9645000000000001,0.925,0.294,91.65325815725211,1.0,10
1,paired_acquisition_dep20,704,0.6474704802036285,0.5838101506233215,0.9854999999999998,0.955,0.298,91.74228205502973,1.0,10
1,paired_acquisition_dep20,705,0.6422787249088288,0.5778993368148804,0.9744999999999999,0.95,0.28600000000000003,90.74378185783152,1.0,10
2,paired_acquisition_dep20,701,0.6391827881336212,0.5788491368293762,0.9759999999999998,0.95,0.308,91.7960618044584,1.0,10
2,paired_acquisition_dep20,702,0.6447189748287201,0.5895708203315735,0.9695,0.945,0.284,90.62322523120363,1.0,10
2,paired_acquisition_dep20,703,0.6479236006736755,0.5836997032165527,0.9719999999999999,0.945,0.292,90.86410891438356,1.0,10
2,paired_acquisition_dep20,704,0.6473082602024078,0.5831352472305298,0.9680000000000002,0.935,0.268,90.16159887839443,1.0,10
2,paired_acquisition_dep20,705,0.6491644322872162,0.5853114128112793,0.966,0.9299999999999999,0.32399999999999995,90.56434570065768,1.0,10
3,paired_acquisition_dep20,701,0.6607728600502014,0.6076369285583496,0.9688888888888888,0.95,0.39333333333333326,75.5682729953761,1.0,9
3,paired_acquisition_dep20,702,0.6579946875572205,0.6003308296203613,0.971111111111111,0.9555555555555555,0.39111111111111113,76.11351158948266,1.0,9
3,paired_acquisition_dep20,703,0.6577123045921326,0.6065649390220642,0.9688888888888888,0.9277777777777778,0.37555555555555553,77.45330034376678,1.0,9
3,paired_acquisition_dep20,704,0.6586647629737854,0.5993478894233704,0.9599999999999997,0.9388888888888889,0.37777777777777777,75.75100456855381,1.0,9
3,paired_acquisition_dep20,705,0.6588343679904938,0.6069352626800537,0.9661111111111109,0.9444444444444444,0.3666666666666667,76.70923360388112,1.0,9
4,paired_acquisition_dep20,701,0.6577124953269958,0.6090081334114075,0.9805555555555557,0.9611111111111111,0.36,81.0112467356248,1.0,9
4,paired_acquisition_dep20,702,0.6646758615970612,0.6164413690567017,0.985,0.9666666666666667,0.30666666666666664,79.7978510106345,1.0,9
4,paired_acquisition_dep20,703,0.668795245885849,0.6211356520652771,0.9822222222222221,0.9611111111111111,0.3355555555555555,80.25603471795051,1.0,9
4,paired_acquisition_dep20,704,0.6642410576343536,0.6172703504562378,0.9816666666666667,0.961111111111111,0.3044444444444444,80.9352601828554,1.0,9
4,paired_acquisition_dep20,705,0.6604443669319153,0.6104394197463989,0.9755555555555556,0.9555555555555555,0.36444444444444446,81.549003475272,1.0,9

