fold,variant,seed,slide_id,pair_cosine_average,pair_cosine_worst,retrieval_top1_average,retrieval_top1_worst,scanner_probe_accuracy
1,paired_reference,701,slide_1,0.7160117191076278,0.601852935552597,1.0,1.0,0.44
1,paired_reference,702,slide_1,0.7269580048322678,0.6209161639213562,1.0,1.0,0.44
1,paired_reference,703,slide_1,0.736347947716713,0.6372938692569733,0.995,0.95,0.42
1,paired_reference,704,slide_1,0.7279924875497819,0.62983518242836,1.0,1.0,0.44
1,paired_reference,705,slide_1,0.723631237745285,0.6064818441867829,0.985,0.95,0.36
2,paired_reference,701,slide_10,0.6254501929879188,0.5346775978803635,0.94,0.8,0.7
2,paired_reference,702,slide_10,0.6148054468631744,0.5277524620294571,0.95,0.9,0.74
2,paired_reference,703,slide_10,0.6314002162218094,0.5467953264713288,0.96,0.85,0.68
2,paired_reference,704,slide_10,0.6272973012924195,0.5102951437234878,0.935,0.85,0.6
2,paired_reference,705,slide_10,0.6140495631098747,0.532628932595253,0.945,0.9,0.78
0,paired_reference,701,slide_11,0.6083038562536239,0.5348626658320427,0.925,0.85,0.7
0,paired_reference,702,slide_11,0.6086009562015533,0.5218634992837906,0.94,0.9,0.68
0,paired_reference,703,slide_11,0.6120797704160214,0.5258637428283691,0.905,0.8,0.66
0,paired_reference,704,slide_11,0.6100187890976667,0.5115892887115479,0.92,0.8,0.66
0,paired_reference,705,slide_11,0.5935291616618633,0.511317002773285,0.905,0.8,0.7
1,paired_reference,701,slide_12,0.6212053924798966,0.5644462198019028,1.0,1.0,0.66
1,paired_reference,702,slide_12,0.6185185784101486,0.5371114671230316,0.995,0.95,0.58
1,paired_reference,703,slide_12,0.6280214139819145,0.5755801230669022,1.0,1.0,0.54
1,paired_reference,704,slide_12,0.6375650450587272,0.569608497619629,1.0,1.0,0.62
1,paired_reference,705,slide_12,0.6306404885649681,0.5724993824958802,1.0,1.0,0.64
3,paired_reference,701,slide_13,0.6623822098970413,0.6044378221035004,0.99,0.95,0.8
3,paired_reference,702,slide_13,0.6599516975879669,0.6191660821437835,1.0,1.0,0.66
3,paired_reference,703,slide_13,0.6748967412114143,0.6255482196807861,1.0,1.0,0.54
3,paired_reference,704,slide_13,0.677127865254879,0.6408982634544372,1.0,1.0,0.62
3,paired_reference,705,slide_13,0.6582483372092247,0.6059932291507721,0.99,0.95,0.7
0,paired_reference,701,slide_14,0.6435116881132126,0.5297701537609101,0.99,0.95,0.64
0,paired_reference,702,slide_14,0.6195841535925866,0.5254260122776031,0.98,0.9,0.62
0,paired_reference,703,slide_14,0.6317854136228561,0.5357070893049241,0.98,0.9,0.5
0,paired_reference,704,slide_14,0.63510548889637,0.5346961498260498,0.995,0.95,0.64
0,paired_reference,705,slide_14,0.6325615653395653,0.5190501600503922,0.985,0.9,0.66
1,paired_reference,701,slide_15,0.5752528181672096,0.5168494552373886,0.97,0.85,0.86
1,paired_reference,702,slide_15,0.5809891046583653,0.5277645200490951,0.965,0.85,0.78
1,paired_reference,703,slide_15,0.544317759424448,0.4323539063334465,0.93,0.75,0.74
1,paired_reference,704,slide_15,0.578833717405796,0.5200602173805237,0.96,0.9,0.86
1,paired_reference,705,slide_15,0.5760299125313759,0.5157597631216049,0.955,0.85,0.76
2,paired_reference,701,slide_16,0.6528401008248329,0.5208982557058335,0.945,0.75,0.7
2,paired_reference,702,slide_16,0.6626216429471969,0.5455399066209793,0.915,0.8,0.62
2,paired_reference,703,slide_16,0.6561644524335861,0.5525741279125214,0.935,0.85,0.62
2,paired_reference,704,slide_16,0.6560409760475159,0.5132124692201614,0.92,0.75,0.66
2,paired_reference,705,slide_16,0.6499325233697891,0.5176423043012619,0.93,0.8,0.62
0,paired_reference,701,slide_17,0.5702309301495552,0.5130483835935593,0.935,0.85,0.64
0,paired_reference,702,slide_17,0.5699254742264748,0.49612984657287595,0.94,0.8,0.74
0,paired_reference,703,slide_17,0.5623708027601242,0.49958989918231966,0.915,0.75,0.68
0,paired_reference,704,slide_17,0.5758726866543293,0.5000140920281411,0.925,0.8,0.74
0,paired_reference,705,slide_17,0.5729709714651108,0.5165015548467636,0.925,0.8,0.72
1,paired_reference,701,slide_18,0.6385545492172241,0.5150827497243882,0.98,0.9,0.52
1,paired_reference,702,slide_18,0.6371761372685433,0.5240388840436936,0.985,0.9,0.54
1,paired_reference,703,slide_18,0.6567888116836548,0.5592971980571747,1.0,1.0,0.58
1,paired_reference,704,slide_18,0.6349706608057022,0.5222792670130729,0.955,0.85,0.56
1,paired_reference,705,slide_18,0.6386748641729355,0.531390368938446,0.985,0.9,0.52
4,paired_reference,701,slide_19,0.6275812974572181,0.5412404567003251,0.955,0.9,0.74
4,paired_reference,702,slide_19,0.6275835061073303,0.5263910591602325,0.945,0.85,0.74
4,paired_reference,703,slide_19,0.6277762079238891,0.5217412382364273,0.945,0.9,0.62
4,paired_reference,704,slide_19,0.6379981768131257,0.5545365065336227,0.97,0.9,0.72
4,paired_reference,705,slide_19,0.6227721232175827,0.5211159944534302,0.935,0.75,0.8
4,paired_reference,701,slide_2,0.567542669326067,0.4863082140684128,0.99,0.95,0.84
4,paired_reference,702,slide_2,0.5728379064798355,0.49992726743221283,0.97,0.9,0.88
4,paired_reference,703,slide_2,0.5842187878489494,0.5057713001966476,0.975,0.9,0.82
4,paired_reference,704,slide_2,0.5692867797613144,0.5075550198554992,0.99,0.95,0.88
4,paired_reference,705,slide_2,0.5484144055843353,0.4764299035072327,0.97,0.9,0.82
0,paired_reference,701,slide_20,0.6626020526885986,0.6123099148273468,0.975,0.95,0.62
0,paired_reference,702,slide_20,0.6714532154798508,0.6097276270389557,0.99,0.95,0.72
0,paired_reference,703,slide_20,0.6502866861224175,0.6028127193450927,0.955,0.9,0.6
0,paired_reference,704,slide_20,0.6657573586702347,0.5823147684335709,0.995,0.95,0.64
0,paired_reference,705,slide_20,0.6625938853621482,0.6020279645919799,0.97,0.9,0.68
1,paired_reference,701,slide_21,0.5615892922878265,0.4480663865804672,0.885,0.7,0.76
1,paired_reference,702,slide_21,0.5709817043691874,0.40544511154294016,0.91,0.75,0.68
1,paired_reference,703,slide_21,0.5680267180502415,0.44165339022874833,0.895,0.75,0.82
1,paired_reference,704,slide_21,0.5712875064462424,0.4213134042918682,0.93,0.8,0.86
